-7:43 | (New member) XeniVari: 待機
40:19 | (New member) Theblekedet: I hope you're feeling better now
40:20 | sp33d4l0l: yes, KUMA LOVE
40:20 | (New member) ユーネ: :_sprdo::_sprdo::_sprdo:
40:21 | (New member) The Flesh Is Weak: punished:_sprdo:/10
40:24 | SpaceTalon: it was a nice stream - glad the Bear is better now 
40:26 | (New member) Matthew: 10/10 Bear LOVE
40:29 | (New member) ユーネ: KUMA LOVE
40:31 | (New member) The Pope: Beatani LOVE
40:32 | (New member) Mechanized Doge: ring fit would be cool
40:34 | (New member) Raziel: □/:_sprdo:
40:40 | (New member) Shippo: KUMA SUKI
40:41 | (New member) Zia: Wait, which part was the punishment
40:42 | Voltage: BEAR
40:42 | (New member) Sol Codguy: BEATONI LOVE
40:44 | (New member) Shippo: くますき
40:45 | (New member) Margrave: Punished :_bea:/10
40:50 | Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🍀🍀🍀
40:50 | (New member) Mister Eko: Welcome to the NHK is worse than Watamote
40:51 | (New member) Moeniki: Kuma rabu :_sprdo:
41:00 | (New member) Neko Mikuri 寝込みくり: 10/10
41:03 | AtomicBanana 55: 💊🍶/10
41:03 | Δ: no more watamote only otome 
41:13 | (New member) ユーネ: don't spoil
41:15 | (New member) billy joe【liar】: You have to be nice to us as punishment
41:19 | Brandon21: Bea love!
41:21 | (New member) Zia: Nhk ni youkoso Book is very dark, but the anime is much lighter
41:22 | (New member) Verijero: nhk worse for males, wataome for females maybe?
41:34 | (New member) No Body: tfw no Misaki
41:37 | (New member) Mister Eko: わかる
41:40 | (New member) LassesAffar: I don't want to feel negative emotions, so I only read isekai
41:42 | SpaceTalon: I feel like a great manga to cheer up is "Kingdom" - I 100% recommend 
41:43 | (New member) Matthew: Tomoko is based
41:44 | (New member) max r: watchalong/10
41:44 | (New member) Mew: What is Neko wa tsurai yo then?
41:45 | (New member) Tianfang's Adventures: NHK made me question parts of my life at the time when I read it. 
41:47 | (New member) Peer: Just read good lighthearted manga for the soul
41:49 | (New member) OverMagnet: Beatani Teacher/Flower Shop/OL Zatsudan
41:51 | (New member) Hanabi: we're all like tomoko
41:59 | TheHighestNativeGod: a lot of people love tomoko irl beatani, don't despair
41:59 | (New member) The Flesh Is Weak: cringe:_sprdo:
42:00 | (New member) Mister Eko: Yotsuba readalong!
42:15 | kardy b: べあは話すが早すぎ
42:17 | sp33d4l0l: Katawa Shoujo playthrough
42:19 | (New member) ThePlatinumCan: Ahh, I see. Main character of NHK isn't really likeable but is very relatable.
42:21 | (New member) Matthew: OK:_dayo:
42:21 | (New member) Mechanized Doge: that's a cool idea
42:26 | (New member) Fake Name: Just watch Jaku-chara Tomozaki to learn to be a riajuu
42:30 | Brandon21: Beatani's punishment is having to say "I love you dad!"
42:31 | (New member) クラガリ葉月: キモ女ね。まあ、けど皆好き。
42:34 | SpaceTalon: alternatively: "The Clueless Transfer Student Is Assertive"
42:36 | (New member) Zia: A bit
42:40 | Juvisy: Early Watamote is rougher for me too, I see too much of the bad parts of Tomoko in myself 
42:45 | (New member) BasedBug: Katawa Shoujo would unironically be very fitting
42:50 | (New member) Zia: Not sure why it's so embarassing tho
42:50 | (New member) max r: katawa shoujo, it's been too long
42:51 | (New member) Mechanized Doge: all good.
42:56 | Voltage: boku no pico is BETTER
42:58 | (New member) Verijero: yes
42:59 | Andrew Ryan: I don't think it's too fast
42:59 | stuffed idiot: foolish kuma and foolish dads are a bad combo
43:00 | kardy b: 日本語が早すぎよ
43:01 | (New member) Mew: 貧乏な日本語学習者。Get good!
43:02 | (New member) LassesAffar: Not too fast
43:03 | (New member) The Flesh Is Weak: :_yah:
43:03 | (New member) ThatVidyaGuy: We understand.
43:04 | (New member) ユーネ: わかる
43:06 | (New member) The Pope: kardyは聞くのが遅すぎ
43:08 | sp33d4l0l: Katawa Shoujo even caters to limb deficiency connoiseurs
43:08 | (New member) Mechanized Doge: they need to do their reps bros...
43:10 | (New member) Rye Mountain: I think I understood what you said today. Not too fast at all
43:10 | (New member) Fake Name: Katawa Shoujo love
43:11 | Andrew Ryan: 早すぎと思わない
43:14 | (New member) Raziel: Clearly understood
43:15 | (New member) ユーネ: BEATANI LOVE
43:19 | (New member) Moeniki: かなりわかる
43:20 | Brandon21: I can understand just fine and im not even an anglo.
43:29 | (New member) Fake Name: Katawa Shoujo Rin route now
43:29 | (New member) Mister Eko: h-hayai...
43:32 | (New member) No Body: ah its fine
43:32 | (New member) Tachi: Yah your japanese is a bit fast
43:36 | (New member) Stray Wolf: it's okay 
43:40 | Woop Woop: as fast as possible
43:42 | るむ: "as much as possible"
43:42 | (New member) LassesAffar: as fast as possible
43:43 | (New member) Neko Mikuri 寝込みくり: 大丈夫
43:46 | AtomicBanana 55: As best as possible
43:46 | (New member) Stray Wolf: dads need to do their hearing reps 
43:48 | SpaceTalon: It is pretty clear what you wanted to say so its fine!
43:51 | Sheep: we just have to do japanese reps
44:01 | Horror: a fast talker?
44:04 | Voltage: how funny is HIROYUKI?
44:09 | (New member) Verijero: good for hearing reps
44:11 | (New member) Fake Name: Don't worry I can kind of understand a little
44:13 | (New member) クラガリ葉月: Can you speak at フブキ speed though?
44:13 | Alexander Holzer: It's a pretty normal speed. Work on your listening, dads.
44:16 | (New member) max r: it makes for good touhhou and vocaloid singing
44:18 | (New member) No Body: pretty?
44:18 | (New member) Absolute Link: yeah i remember your tongue twisters, impressive
44:18 | AtomicBanana 55: Japanese is a really fast speaking language.
44:20 | NtCreate: 早口
44:23 | 123457474869: can you sing ura omote lovers then
44:36 | (New member) Nasty Yukari: Dads, your listening reps
44:39 | Meneltir: VERY fast bear talking at incredibly hihg speed
44:45 | (New member) Xayn: Japanese study stream when?
44:50 | (New member) Mister Eko: lol she is running away 
45:08 | (New member) Mister Eko: japanase study time sounds pretty fun
45:08 | 123457474869: @Meneltir kek
45:10 | (New member) max r: :_yah:
45:26 | (New member) Mew: 熊についていくことができたら......どうやって日本語を学ぶの？
45:30 | (New member) BasedBug: Scatman karaoke?
45:30 | (New member) Mew: GET GOOD
45:30 | (New member) ユーネ: え?
45:46 | (New member) ユーネ: foolish dads
45:46 | (New member) Silverion: read yotsuba and do a live translation
45:50 | Dr CEL: say HI HONEY 😘😘😘
45:51 | Vic Kyorlo: bea reading the fbk glasses copypasta when
45:57 | (New member) max r: I am looking forward to the raps at the next karaoke
46:03 | Brandon21: gotta talk fast
46:05 | (New member) Mister Eko: She is a dex build 
46:06 | るむ: トモシカ speaks at lightning speed quite a bit
46:06 | (New member) No Body: i thought Marine is the fastest tbh
46:07 | Voltage: drcel: CRINGE
46:09 | (New member) Verijero: relatable
46:09 | (New member) Ark K.: who's your favorite loli in anime?
46:09 | (New member) Matthew: Patience AWAY
46:11 | (New member) Moeniki: tongue twister reps...
46:11 | (New member) XenMaster220: Same
46:17 | (New member) Nasty Yukari: Japanese people didn't do their listening reps either??
46:18 | Sheep: adhd taking effect
46:21 | (New member) Tianfang's Adventures: speedo bear 
46:24 | (New member) The Flesh Is Weak: ADHD talk...
46:32 | kardy b: dads too dumb for Japanese speech...
46:33 | (New member) BasedBug: That voice message where she said a tongue twister was very impressive
46:36 | (New member) No Body: theyre just 2SLOW
46:41 | (New member) Neko Mikuri 寝込みくり: なんかかわいいけどさ
46:42 | AtomicBanana 55: ADHD is crazy. I love and hate having it.
46:53 | (New member) Mister Eko: More tongue twister clips!
46:54 | Voltage: jugeme
46:54 | Horror: jugemu...
47:10 | (New member) The Pope: Bea's brain is perfect for Too Fast RPG
47:13 | (New member) The Flesh Is Weak: ENTP talk as well...
47:13 | (New member) Neko Mikuri 寝込みくり: 日本語でも
47:13 | (New member) Mister Eko: In japanese!
47:13 | (New member) Mew: Japanese are fine too!
47:15 | (New member) Tuffee: Welcome to For My Family!
47:18 | Dr CEL: 😘😘 H I. H O N E Y. 😘😘❤ ToT
47:22 | Meneltir: 日本語がもう早の言語です。
47:28 | (New member) BasedBug: @Dr CEL Cringe
47:32 | Voltage: ojisan drcel
47:33 | (New member) Suukotto Funsha: Japanese tongue twisters are also good
47:39 | (New member) Moeniki: Say Toy Boat fast 5 times
47:41 | Axiis: there you go
47:44 | (New member) Mister Eko: Guys, this bear is way too cute
47:45 | (New member) Mew: スピードアップ
47:49 | (New member) Firstname Lastname: permaban Dr CEL please Bea
47:55 | 123457474869: she shills sea shells by the sea shore
47:59 | (New member) XenMaster220: BEA Love!!
48:03 | (New member) Neko Mikuri 寝込みくり: 日本語でもええ
48:05 | Δ:  Peter Piper picked a peck of pickled peppers. A peck of pickled peppers Peter Piper picked. If Peter Piper picked a peck of pickled peppers
48:08 | Voltage: She SELLS sea SHELLS by the SEA sHore
48:08 | Brandon21: jesas
48:11 | (New member) ThatVidyaGuy: H-HAYAI!
48:13 | (New member) BasedBug: This Depressed Bear Is Spitting Straight Fire
48:13 | Brandcrisp: holt
48:13 | (New member) Suukotto Funsha: Haiyai
48:13 | (New member) imalittle cupcake: Sugoi
48:15 | (New member) 77Yuja_: s-sugoi
48:15 | (New member) Matthew: s-sugoi
48:15 | (New member) CantDood: :_kita:
48:16 | Brandcrisp: holy 
48:16 | ZVN: Holy shit
48:16 | (New member) The Flesh Is Weak: :_sprdo:sugoi
48:16 | (New member) The Pope: :_kita::_kita::_kita:
48:17 | Andrew Ryan: fox in socks reps?
48:18 | (New member) Mister Eko: RATE THE TONGUE TWISTER
48:19 | (New member) Luginov: speed
48:20 | Horror: aka pajama?
48:20 | kaiserschmarrn_: awesome
48:20 | quietly: basu gasu bakuhatsu
48:20 | SpaceTalon: 😲 this Bear is too fast!
48:20 | (New member) Absolute Link: 👏
48:21 | TheHighestNativeGod: RAP GOD BEATANI
48:21 | (New member) Koruru: H-hayai
48:21 | (New member) Firstname Lastname: s-she's fast...
48:21 | Δ: crack bros
48:22 | (New member) Stray Wolf: hayai 
48:22 | (New member) hohoemikuma: hayai
48:23 | Mr. Gillespie: h-hayai!
48:23 | (New member) ThePlatinumCan: H-hayai>>!
48:23 | Cyshio: H-hayai
48:24 | (New member) ユーネ: :_kita:
48:24 | Battle Angel: woaaa
48:24 | kardy b: すげえ
48:25 | AtomicBanana 55: Beautiful!
48:25 | (New member) Sol Codguy: 🔥🔥
48:25 | Cheese: holy moly
48:26 | (New member) TWAIN: :_kita:
48:26 | Meneltir: スゲー
48:26 | (New member) Ark K.: :_sprdo::_sprdo::_sprdo:
48:27 | (New member) Mister Eko: 早い/10
48:30 | D3bugged: nice
48:30 | Aizekku: Wow
48:32 | (New member) Jacob: h-hayai
48:32 | (New member) No Body: s-sugoi
48:33 | VerticalCloud: rap god
48:33 | (New member) Canna: □
48:35 | (New member) Moeniki: haya
48:35 | (New member) クラガリ葉月: 全然わからん。。。カッコいい
48:36 | Voltage: sppeeed bearrrr
48:36 | KaiserKrieger: JESAS HA-HAYAI
48:36 | (New member) XenMaster220: :_kita::_kita:Sugoi:_kita::_kita:
48:37 | (New member) Zyadarya: □
48:37 | (New member) Neko Mikuri 寝込みくり: すっご
48:38 | Your Local Weeb: damn
48:40 | AtomicBanana 55: That was BASED
48:42 | (New member) Mew: はやい！！！はやい！！！
48:43 | (New member) Matthew Caballero: :_sprdo::_sprdo:
48:44 | (New member) CommanderMichael: sanic
48:45 | (New member) The Pope: Lmao how is that kimoi
48:46 | (New member) ThePlatinumCan: What? That's □
48:46 | ZVN: Why? That's cool
48:49 | (New member) Atomsk: skillful!
48:49 | BearintheWoods: Fast and Furious 3: Beatani Drift
48:50 | (New member) Ark K.: too fast beatani talks in incredibly hihg speed
48:50 | (New member) Mechanized Doge: 面白いのでブラボー
48:51 | (New member) ThatVidyaGuy: Thats a cool skill.
48:51 | Δ: do rapgod for karaoke stream onegai
48:53 | (New member) max r: :_sprdo:
48:53 | Cheese: it was cool
48:53 | (New member) Suukotto Funsha: Too fast is based
48:54 | Cyshio: Fast bear
48:54 | (New member) Mew: 2FAST2□
48:56 | (New member) Neko Mikuri 寝込みくり: いや、かわいい
48:57 | dartherori: yo
48:59 | Meneltir: エミネムはべあたにが怖い
49:00 | Lodowa Wrozka: say w Strzebrzeszynie chrząszcz brzmi w trzcinie i Strzebrzeszyn z tego słynie
49:00 | (New member) The Flesh Is Weak: imagine the ASMR...
49:10 | sp33d4l0l: BEAR IS GO FAST LOSING TRACK OF BEAR
49:13 | AtomicBanana 55: Fastest bear in the east
49:15 | (New member) The Pope: 88888888 sugoi subarashii
49:15 | (New member) Sol Codguy: Japanese rap cover next pls
49:16 | (New member) Moeniki: too fast is cool though, why is it kimoi?
49:22 | Brandon21: ENENMI
49:24 | TheHighestNativeGod: slim shady bear...
49:31 | (New member) Neko Mikuri 寝込みくり: 早口ａｓｍｒ聴きたいな
49:34 | Voltage: can you rap in japanese?
49:35 | (New member) No Body: EMINGMI
49:43 | (New member) BRAD AEON 720: can she speedread the fubuki glasses copypasta
49:44 | (New member) Nasty Yukari: Eminembros... how will you cope...
49:46 | (New member) Mister Eko: worthless skills is our thing
49:47 | (New member) Mew: Youtube search "Japanese kid raps fast"
49:49 | (New member) ThatVidyaGuy: You could read the side effects for medicine for commericals.
49:50 | 123457474869: just put a "beat" behind it and call it rap
49:51 | (New member) BasedBug: Talking fast can be beneficial to your singing!
49:56 | AtomicBanana 55: Not worthless! You can work at auction houses or something.
49:59 | (New member) Zyadarya: It is still fun 
50:04 | Δ: anemia
50:05 | (New member) Matthew: cringe asmr when?
50:05 | Voltage: reading shampoo bottles
50:15 | (New member) Verijero: aaa
50:19 | (New member) Mechanized Doge: 自分のわがままですけど、ウマ娘の歌とかはけっこう早いよ。そう言う歌もいつか聞きたいっす。
50:22 | (New member) クラガリ葉月: 良さあり! 速い舌は。。。便利ね
50:23 | (New member) max r: cute and funny bear calls you cringe
50:23 | (New member) Mew: How do we do cringe asmr?
50:28 | (New member) Neko Mikuri 寝込みくり: cringeか...
50:28 | (New member) No Body: imagine her singing The Disappearence Of Hatsune Miku
50:29 | (New member) Mew: She reads watamote live?
50:29 | Dr CEL: Honey say Hi ❤❤❤😘❤😘❤😘❤😘😘❤ HI HONEY
50:30 | Sheep: work at a supermarket and be the lady that announces the name of the lost kid
50:30 | (New member) The Flesh Is Weak: CHKN reps Bea...
50:34 | (Verified, Moderator) Streamlabs: Kyle just tipped $25.00 dayo!
50:37 | (New member) BasedBug: Oh well, you should take it easy for the rest of the day
50:39 | AtomicBanana 55: lol
50:42 | (New member) Tianfang's Adventures: Too late now
50:43 | (New member) Sol Codguy: cringe donator
50:43 | 123457474869: >she does it for free
50:47 | (New member) Tachi: Cringe 
50:47 | Voltage: DRCEL CRINGE ATLEAST DONATE
50:49 | (New member) Theblekedet: it's not working
50:49 | Horror:  Kipajama one?
50:52 | (New member) max r: I sent the donation before you said not to.:_kita:
50:52 | (New member) CantDood: bold ojisan
50:55 | (New member) Neko Mikuri 寝込みくり: cringeやつら来たｗ
50:58 | (New member) Mew: Ojicringe
50:59 | (New member) Moeniki: Every stream has it's price
51:01 | (New member) Mechanized Doge: cringe emote poster, away!
51:10 | Δ: 1 ARS
51:12 | TheHighestNativeGod: Cringe ojisan....
51:14 | SpaceTalon: YAMETESTOP
51:15 | (New member) Koruru: cringe ojisans AWAY
51:15 | TheHighestNativeGod: away!
51:16 | (New member) Theblekedet: ban that fool
51:22 | (New member) Nasty Yukari: You were going to do it for >free? That's also cringe
51:33 | (New member) The Pope: Cringe DM ojisan AWAY
51:36 | Sheep: mei?
51:37 | Dr CEL: Say the Line bart. Hi honey 🥒🥒🥒🥒😘😘😘❤😭
51:38 | (New member) Mister Eko: I mean, this is a punishment stream
51:40 | Horror: too much cringe for one bear
51:49 | (New member) XenMaster220: Oji-san AWAY
51:53 | Voltage: cring DRCEL
51:55 | KaiserKrieger: lots 'o cringe ojisans today
51:56 | (New member) Ark K.: can you sing the fast part of hatsune miku no shoushitsu?
51:58 | (New member) Neko Mikuri 寝込みくり: なにあいつｗ
52:01 | sp33d4l0l: please AWAY the oji-san
52:01 | (New member) The Flesh Is Weak: >bart:_sprdo:
52:01 | VerticalCloud: that's not late 
52:06 | (New member) Theblekedet: that's natural
52:10 | Mr. Gillespie: Dr CEL? more like Dr Cringe
52:13 | (New member) Mew: 2 minutes oh no hayai bear is not hayai?
52:14 | (New member) Tachi: Cringe CEL :_sprdo:
52:19 | (New member) gyroninja: Just schedule the stream 3 minute late :_sprdo:
52:19 | (New member) OverMagnet: :_nukutea::_sprdo:
52:20 | dartherori: bro stop the cringe
52:20 | Voltage: make drcel disappear
52:22 | SpaceTalon: Brave Bear!
52:31 | (New member) Neko Mikuri 寝込みくり: おにいちゃんｗ
52:36 | (New member) No Body: lol
52:43 | (New member) max r: I believe in you too, son, daughter
52:45 | Brandon21: >Onii-chan | I... Im gonna UOOOOOHHH
52:55 | (New member) Theblekedet: yay
53:02 | (New member) Matthew: onii chan love
53:07 | (New member) Neko Mikuri 寝込みくり: 😭😭😭😭😭😭😭
53:15 | TheHighestNativeGod: bea LOVE
53:24 | (New member) Peer: :_sprdo:
53:26 | (New member) XenMaster220: uooooh
53:29 | (New member) Theblekedet: it's not your fault
53:29 | Valkenhayn Hellsing: hello kuma fren
53:33 | (New member) Mister Eko: >It's my fault that I'm popular 
53:34 | (New member) Mastigos Wilkins: bear love
53:44 | (New member) CantDood: it's society's fault
53:50 | (New member) BasedBug: You'll be fine, we can't wait for your next stream!
54:01 | (New member) Satorin_Komeiji: bealove
54:15 | BakedBanana: oh?
54:15 | (New member) The Flesh Is Weak: ...:_sprdo:
54:21 | AtomicBanana 55: Even if it was your fault, we'd still want to help if we can.
54:25 | (New member) max r: :_nukutea::_nukutea::_nukutea:
54:35 | (New member) XenMaster220: :_sprdo:Kuma...
54:40 | (New member) Matthew: Beatoni is cuter today :_sprdo:
54:48 | (New member) クラガリ葉月: 弱点あるね。
55:02 | Arcus crundelic: dokidoki
55:06 | Voltage: i love the beatoni, the beatoni on the pam
55:06 | (New member) Neko Mikuri 寝込みくり: 草
55:13 | Δ: oh no no its black history month...
55:13 | (New member) Rye Mountain: Thank you for doing this stream, it felt honest and brave. Talking about feelings is hard.
55:14 | (New member) Tianfang's Adventures: daw
55:15 | (New member) Mister Eko: oh no
55:17 | Horror: i will remember.
55:17 | (New member) CantDood: the internet never forgets bea, sorry
55:17 | (New member) Theblekedet: lol
55:17 | (New member) The Flesh Is Weak: gyaru guma dark past:_sprdo:
55:21 | (New member) OverMagnet: :_sprdo:グマ…
55:21 | (New member) BasedBug: That was a couple months ago, you're good
55:21 | Brandon21: To be honest, Beatani's streams are very relaxing for me. Despite chat going cringe at times.
55:22 | (New member) No Body: wat
55:24 | (New member) Mew: Ahahaha
55:24 | (New member) Mister Eko: I want to hear it
55:27 | stuffed idiot: lol
55:28 | (New member) Mechanized Doge: 誰にもある物なので気にしないで！
55:30 | (New member) The Pope: Bea wore bandages on her arm and an eyepatch in middle school
55:33 | knull: chuuni
55:36 | (New member) XenMaster220: lol
55:37 | (New member) ThatVidyaGuy: Read it on stream!
55:38 | greg gg: Say Hi honey
55:41 | Sheep: gyaru, chuuni....
55:45 | Andrew Ryan: dark history AWAY
55:45 | (New member) Moeniki: Chuuni bear!
55:46 | (New member) クラガリ葉月: Story time!
55:46 | (New member) ユーネ: don't worry bout it
55:47 | (New member) CantDood: I'll keep an eye
55:50 | (New member) Fake Name: 2Hazukashiful2Bear
55:52 | (New member) Stray Wolf: too embarrassing to bear
55:53 | (New member) No Body: chu2 highschool oh god
55:55 | greg gg: 😘😘😘😘 Hi honey reps
55:57 | (New member) OverMagnet: Beatani with an eyepatch next stream 
55:58 | Voltage: greg shush
55:59 | AtomicBanana 55: Yeah, it's hard to be vulnerable. We really appreciate it though.
56:01 | Brandon21: Dark Flame Kuma
56:03 | (New member) Hanabi: there's no worse feeling than finding something you wrote in 7th grade
56:03 | Mizuki Arisu: dark bear master
56:04 | (New member) Canna: Chuuni poem reveal at 10k
56:07 | (New member) The Flesh Is Weak: gyaru chuuni kusoposter
56:08 | (New member) Tianfang's Adventures: Everyone does stuff as a kid they regret later.
56:12 | (New member) Mister Eko: We need ART of chuuni bea
56:14 | greg gg: do it please. hi honey tummy runny
56:14 | (New member) Tachi: Cringe ojisan
56:16 | (New member) Verijero: naruto fanfiction incoming
56:17 | TheHighestNativeGod: chuuni bear love
56:18 | Voltage: GREG cringe
56:21 | (New member) クラガリ葉月: 魔王熊
56:21 | greg gg: 😭😭😭😭😭😭😭
56:23 | (New member) Xayn: Ban greg live onegai
56:34 | Δ: 😭😭😭😭😭😭😭😭😭😭😭😭
56:34 | Voltage: drcel why did you change your name
56:37 | (New member) Sol Codguy: cringe honeychatters
56:39 | AtomicBanana 55: Cringing at your past self shows that you've grown.
56:44 | sp33d4l0l: greg AWAY
56:46 | Horror: black history always hit me at 2am 
56:47 | SpaceTalon: were you running with your hands behind your back like a true ninja?
56:49 | Arcus crundelic: giving oji attention.. cringe
56:50 | (New member) Firstname Lastname: Dr CEL is CRINGE
56:50 | (New member) CantDood: what's going on here
56:55 | Voltage: greg AWAY
56:56 | (New member) BasedBug: @greg gg It's like looking at the concentrated, physical version of cringe
56:56 | (New member) Neko Mikuri 寝込みくり: かなしい
56:59 | (New member) The Flesh Is Weak: yab
57:01 | (New member) Theblekedet: it's all black
57:03 | (New member) No Body: oh...
57:06 | Mr. Gillespie: dumb hi honey poster...
57:06 | TheHighestNativeGod: greg AWAY
57:09 | (New member) クラガリ葉月: ウンウン
57:10 | (New member) BasedBug: uh oh
57:15 | stuffed idiot: good times ahead
57:17 | (New member) XenMaster220: :_sprdo:
57:18 | (New member) Mew: いつもどりcringe:_sprdo::_sprdo:
57:22 | (New member) max r: :_sprdo:
57:23 | (New member) Neko Mikuri 寝込みくり: でも応援します!
57:25 | (New member) Mechanized Doge: よく見るとこの配信の中で一番cringeなのはあのへんなニキですね。
57:43 | (New member) BasedBug: Shit happens
57:45 | (New member) No Body: Everyday I Live In Pain. - Beatani,2021
57:48 | (New member) AnomalousRaven: past's cringe is today's content
58:01 | (New member) ユーネ: nukumority...
58:12 | (New member) BasedBug: Remember: Even a cringe clock is based twice a day
58:16 | (New member) Randel Shurker: We all know it's cringe
58:16 | (New member) The Flesh Is Weak: repschama...
58:17 | (New member) gyroninja: Upgraded membership to For Oil Balon!
58:22 | (New member) Theblekedet: nice basedbug
58:28 | (New member) Ark K.: □
58:30 | Voltage: kneel.....
58:30 | (New member) Megiddo: sasuga Balon
58:31 | (New member) max r: oil balon sama
58:32 | (New member) The Flesh Is Weak: Balon:_sprdo:
58:33 | (New member) Mechanized Doge: オイルバロン！！
58:33 | (New member) クラガリ葉月: Ninja-kun..
58:37 | (New member) Kyle: □ gyroninja
58:37 | (New member) Luginov: oil balon..
58:37 | Andrew Ryan: too much cringe; dads, send nukumolity
58:38 | Horror: Based oil balon
58:39 | (New member) No Body: □:_kita:
58:39 | (New member) Mechanized Doge: I kneel!
58:40 | (New member) CantDood: holy
58:40 | VerticalCloud: oil balon
58:43 | (New member) TWAIN: balloon
58:45 | (New member) BRAD AEON 720: I kneel
58:46 | (New member) Moeniki: oil balon :_kita:
58:47 | (New member) ユーネ: BEATANI LOVE
58:48 | (New member) Nasty Yukari: Arrodillo balonsama...
58:48 | Voltage: oil balloons
58:51 | Dr CEL: SAY. HI
58:52 | (New member) Theblekedet: oilbalon-san□
58:53 | (New member) Mew: :_kita::_kita:
58:54 | VerticalCloud: based af
58:54 | (New member) Peer: oil balon
58:54 | (New member) Idle Bear: another balon
59:00 | Voltage: I KNEEL
59:05 | Cheese: holy moly
59:09 | Dr CEL: 😘😘😘😘😘 Hi Honey
59:19 | Horror: yes...
59:21 | (New member) ユーネ: as (you)
59:22 | ZVN: Oof, I feel bad for you if you're as foolish as us
59:22 | (New member) Moeniki: foolish family!
59:23 | (New member) Mew: Acceptance.
59:24 | (New member) ユーネ: :_sprdo:
59:26 | (New member) imalittle cupcake: Just like her dads...
59:27 | (New member) No Body: aaw
59:27 | (New member) Suukotto Funsha: Makes sense
59:27 | (New member) Tachi: Yes sounds right lol
59:28 | Voltage: dr cell cringeeeeee
59:28 | AtomicBanana 55: Foolish daughter just like foolish dads
59:29 | (New member) Sol Codguy: I'm not sure you can be as foolish as dads are
59:31 | (New member) ユーネ: true
59:33 | (New member) Matthew: Foolish dads and daughter
59:35 | (New member) The Flesh Is Weak: :_sprdo:runs in the family
59:39 | (New member) BasedBug: You're a foolish daughter, but your OUR foolish daughter
59:42 | (New member) クラガリ葉月: I'm sure many dads are even more foolish
59:42 | Your Local Weeb: family of fools
59:44 | (New member) Fake Name: Do not drink the ADHD cocktail
59:44 | Horror: we are all foolish !
59:46 | (New member) Randel Shurker: Do I gotta get outta my seat to beat down some folks who make my daughter cry?
59:46 | franklinNOTurtle: dad cringe
59:50 | (New member) Koruru: The apple doesn't fall far from the tree after all..
59:52 | (New member) The Pope: Fuaaaa
59:55 | (New member) Theblekedet: we're all foolish
59:57 | (New member) Rye Mountain: I love me daughter even when she is foolish
1:00:01 | (New member) XenMaster220: It's ok to be Foolish
1:00:03 | (New member) BRAD AEON 720: Upgraded membership to For My Family!
1:00:07 | (New member) max r: thanks for the stream
1:00:14 | (New member) ThatVidyaGuy: We're all foolish.
1:00:21 | (New member) Neko Mikuri 寝込みくり: 楽しみ
1:00:22 | (New member) imalittle cupcake: See ya next time dads
1:00:22 | (New member) Ark K.: comfy stream
1:00:23 | (New member) BasedBug: Have a good day, take it easy
1:00:26 | (New member) Peer: Thank you!
1:00:26 | Question Box: "playing"
1:00:27 | (New member) Kyle: Thank you for the stream!
1:00:27 | SpaceTalon: ❤ ❤ ❤ 
1:00:30 | (New member) クラガリ葉月: Thank you for streaming.
1:00:30 | (New member) Steven Frati: Thanks for talking it out and making sure you're in a place to keep moving forward Bea!
1:00:30 | (New member) Mew: Thank you :_bea::_bea:
1:00:30 | (New member) Moeniki: Thanks for the stream!
1:00:31 | (New member) XenMaster220: RATE THE STREAM????
1:00:32 | (New member) Suukotto Funsha: Thank you for the stream Bea
1:00:33 | (New member) Mister Eko: BEA LOVE
1:00:34 | (New member) 77Yuja_: がんばれ！
1:00:34 | Alexander Holzer: Thanks bea
1:00:35 | (New member) The Flesh Is Weak: hand reps everyone
1:00:35 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: I rate the stream Panished/10
1:00:35 | (New member) The Pope: Thanks for the stream Bea!
1:00:35 | Voltage: THANKS FOR THE STREAMM BEARRR 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️
1:00:35 | (New member) Rye Mountain: Thanks for doing this stream, it felt honest.
1:00:36 | SpaceTalon: Bye Bye!
1:00:36 | Dr CEL: Say Hi honwy
1:00:36 | Arcus crundelic: beabea!
1:00:37 | (New member) Theblekedet: thanks for the stream! really comfy
1:00:38 | (New member) Atomsk: bye
1:00:39 | ZVN: Bye Bea!
1:00:39 | (New member) LoneRanger25: :_bea::_bea:
1:00:39 | (New member) Peer: bea love...
1:00:39 | (New member) CommanderMichael: :_bea::_bea:
1:00:40 | (New member) Matthew: Nice stream
1:00:40 | (New member) CantDood: it went better than expected:_kita:
1:00:42 | (New member) Zed: thanks
1:00:42 | AtomicBanana 55: Sounds good. Thanks for streaming Bea! Take care!
1:00:42 | (New member) AnomalousRaven: またねね
1:00:42 | VerticalCloud: thank you! was fun
1:00:42 | (New member) Canna: Bea Bea!
1:00:43 | Dr CEL: SAY IT. HI HONWY
1:00:43 | sp33d4l0l: BEA LOVE
1:00:43 | (New member) クラガリ葉月: :_bea::_bea:また明日よ。
1:00:43 | (New member) Moeniki: :_bea::_bea:
1:00:43 | (New member) Tachi: :_bea::_bea:
1:00:45 | Horror: bea bea ! Beatani LOVE !
